image,title,sub_title,price,sale,unit,delivery_type,weigth,shipping_type,origin,allergen,shelf_life,information,sub_product_name_list,sub_product_price_list,product_image,check_point_image,description_title,description_content,description_image
https://img-cf.kurly.com/shop/data/goods/1530775904381y0.jpg,[LOTS OF LOVE] 차돌듬뿍 묵은지볶음밥,묵은지와 차돌박이의 기분 좋은 조화,"7,800원",0%,1PK,샛별배송/택배배송,460g (230gX 2개입),냉동/종이포장,,"- 쇠고기, 밀, 닭고기,대두, 우유 함유",,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200303/gv20000083846_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180705/gv00000026649_1.jpg,"칼칼한 묵은지와 차돌박이의 푸짐한 맛
[LOTS OF LOVE] 차돌 듬뿍 묵은지 볶음밥","LOTS OF LOVE에서 4번째로 선보이는 야심작. 차돌 듬뿍 묵은지 볶음밥입니다. 잘 익은 묵은지와 큼직하게 썰어 넣은 차돌박이의 고소하고도 깊은 조화는 상상만으로도 군침을 돌게 만들어요. 배고플 때 끼니를 때울 제일 만만한 음식으로 볶음밥을 외쳐오셨나요? LOTS OF LOVE의 차돌 듬뿍 묵은지 볶음밥을 맛보는 순간 여러분 생각 속의 볶음밥은 멋들어진 만찬으로 거듭날 거예요. 국산 묵은지의 칼칼한 풍미와 전체 원재료의 20%를 차지할 정도로 아낌없이 넣은 차돌박이의 구수한 감칠맛. 밥알이 갓 지은 밥처럼 고슬고슬 살아 있는 건 덤이랍니다. LOTS OF LOVE는 냉동 볶음밥 제조 시 밥알을 하나하나 넓게 펼쳐서 냉동하거든요. 간편하고 푸짐하게, 든든하고 만족스럽게 여러분의 한 끼를 해결해 보세요.",https://img-cf.kurly.com/shop/data/goodsview/20180705/gv30000026648_1.jpg
https://img-cf.kurly.com/shop/data/goods/1581303042222y0.jpg,[다담] 찌개 양념장 6종,원하는 재료와 함께 뚝딱 끓여내는 간편 찌개!,"1,480원",0%,1봉,샛별배송/택배배송,제품별상이,냉장/종이포장,,"- 대두,밀,새우,쇠고기,오징어,조개류(홍합 포함) 함유",,,"['[다담] 정통된장찌개 양념', '[다담] 냉이된장찌개 양념', '[다담] 우렁강된장 양념', '[다담] 순두부찌개 양념', '[다담] 청국장찌개 양념', '[다담] 부대찌개 양념']","['1,480원', '1,480원', '1,480원', '1,480원', '1,480원', '1,480원']",https://img-cf.kurly.com/shop/data/goodsview/20200210/gv40000080839_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200210/gv10000080860_1.jpg,"바쁠 때 뚝딱 끓여내는
[다담] 찌개 양념장 6종","매일같이 식탁에 올라오는 찌개지만, 사실 마음에 딱 맞는 깊은 맛을 내기란 쉬운 일이 아니죠. 바쁠 때 간편하게 찌개를 완성할 수 있는 다담의 찌개 양념장을 소개할게요. 어울리는 다양한 채소와 두부만 준비한 다음, 양념과 물을 넣고 끓이기만 하면 언제 어디서나 찌개가 뚝딱 완성되는 유용한 양념장이죠. 물 조절에 실패할 일이 없도록 봉지에 표시선을 두었으니 계량컵도 필요없어요. 냉이 된장찌개부터 강된장, 집에서 맛을 내기 힘든 부대찌개까지 6가지 양념장을 준비했으니, 가벼운 마음으로 여러 가지 찌개를 차려내 보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200210/gv20000080837_1.jpg
https://img-cf.kurly.com/shop/data/goods/1509528119254y0.jpg,[오뚜기] 컵누들 8종,출출한 배를 채워 줄 비밀병기,990원,0%,1개,샛별배송/택배배송,제품 별 상이,상온/종이포장,,"- 컵누들 매콤한맛 : 밀, 대두, 우유, 쇠고기, 조개류(굴, 홍합 포함) 함유",,,"['[오뚜기] 컵누들 매콤한맛', '(품절) [오뚜기] 컵누들 김치 잔치국수', '(품절) [오뚜기] 컵누들 베트남 쌀국수', '[오뚜기] 컵누들 똠양꿍 쌀국수', '(품절) [오뚜기] 컵누들 잔치국수', '[오뚜기] 컵누들 우동맛', '[오뚜기] 컵누들 팟타이 쌀국수', '[오뚜기] 컵누들 마라볶음 쌀국수']","['990원', '990원', '1,190원', '1,190원', '990원', '990원', '1,190원', '1,190원']",,,,,
https://img-cf.kurly.com/shop/data/goods/1511329194732y0.jpg,[집으로ON] 팔선생 볶음밥 3종,집에서 맛보는 소문난 맛집의 볶음밥,"2,200원",0%,1개,샛별배송/택배배송,230g,냉동/종이포장,,"- 팔선생 해물볶음밥(230g) : 난류, 우유, 대두, 밀, 새우, 닭고기, 쇠고기, 오징어, 조개류(굴) 함유",,해당제품은 최소 3개이상 구매부터 가능합니다.,"['[집으로ON] 팔선생 소고기짜사이볶음밥(230g)', '[집으로ON] 팔선생 해물볶음밥(230g)', '[집으로ON] 팔선생 새우볶음밥(230g)']","['2,200원', '2,200원', '2,200원']",,,,,
https://img-cf.kurly.com/shop/data/goods/156888215543y0.jpg,[오뚜기] 맛있는 밥 5종,국산 쌀로 만든 맛있고 간편한 즉석밥(5종),790원,0%,1팩,샛별배송/택배배송,옵션별 상이,상온/종이포장,,,제품 별도표기일까지,,"['(품절) 맛있는 오뚜기밥 가바백미 210G', '맛있는 오뚜기밥 고시히카리 210g', '맛있는 오뚜기 작은밥 150G', '맛있는 오뚜기밥 210g', '맛있는 오뚜기 큰밥 300G']","['1,230원', '1,230원', '790원', '990원', '1,300원']",https://img-cf.kurly.com/shop/data/goodsview/20190919/gv40000062319_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190919/gv30000062312_1.jpg,"국산 쌀로 만든 즉석밥
[오뚜기] 맛있는 밥 5종",직접 밥 짓기 귀찮은 날 즉석밥이 있으면 더없이 든든하죠. '맛있는 오뚜기밥 시리즈'를 부엌 한 편에 챙겨놔 보세요. 중량 별로 골라 먹을 수 있는 기본 오뚜기밥부터 쌀의 품종까지 따져 개발한 가바백미와 고시히카리까지. 종류도 참 다양하답니다. 국산 쌀을 이용했을 뿐더러 HACCP 인증 시설에서 위생적으로 제조한 밥이니 더 믿음이 가요. 오뚜기밥만 있으면 직접 쌀을 씻거나 물의 양을 맞출 필요 하나 없이 더없이 편하게 따끈따끈한 밥을 드실 수 있을 거예요.,https://img-cf.kurly.com/shop/data/goodsview/20190919/gv00000062311_1.jpg
https://img-cf.kurly.com/shop/data/goods/1513835965239y0.jpg,[순수람] 채소를 담은 자연주의 채담카레,"새싹이 듬뿍, 카레의 건강한 변신!","1,950원",0%,1봉,샛별배송/택배배송,160g,냉장/종이포장,,"- 밀, 토마토, 대두, 우유, 돼지고기 함유",,"제조일로부터 18개월제품이며, 9개월이상 제품을 발송드리고 있습니다.",[],[],https://img-cf.kurly.com/shop/data/goodsview/20200513/gv00000095135_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190308/gv30000044395_1.jpg,"농학박사가 만든 건강한 카레
[순수람] 채소를 담은
자연주의 채담카레","향기부터가 맛있는 카레는 이제 우리가 일상적으로 즐기는 음식 중 하나입니다. 마음만 먹으면 정통 인도 카레부터 부드러운 일본식 카레, 레토르트 카레까지 다양한 종류의 카레를 어렵지 않게 맛볼 수 있죠. 그중에서 레토르트 카레는 조리가 편하고 보관이 쉬워 가정에서도 한두 개쯤 찬장에 구비해두고 계실 텐데요. 컬리는 조금 색다른 레토르트 카레를 소개합니다. 바로 농학박사가 정직하게 키운 새싹 7가지를 넣어 만든 순수람의 채소를 담은 자연주의 채담카레예요. 48시간 동안 저온숙성한 카레는 살짝 매콤해서 입맛을 돋우고, 새싹의 생생한 영양분과 생기를 그대로 담아내어 먹고 나서도 속이 편합니다. 취향에 따라 다양한 토핑을 얹어 카레의 건강한 변신을 즐겨보세요.",https://img-cf.kurly.com/shop/data/goodsview/20171221/gv00000014722_1.jpg
https://img-cf.kurly.com/shop/data/goods/1531376312753y0.jpg,[올면] 속초식 명태 회냉면,쫀득한 명태회와 새콤달콤한 육수의 만남을 맛보세요!,"9,800원",0%,1개,샛별배송/택배배송,560g(2개입),냉동/종이포장,,"- 냉면사리: 밀, 오징어 함유",,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20180712/gv20000027121_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180712/gv20000027114_1.jpg,"쫀득한 명태회와 새콤달콤한 육수의 만남
[올면] 속초식 명태회냉면","시원하게 갈증까지 날려주는 새콤한 냉면 한 그릇. 컬리는 속초식 냉면을 가져왔어요. 속초식 냉면에는 고명으로 쫀득한 명태회가 올라간답니다. 속초는 과거 명태 잡이로 유명한 곳이기도 했지만, 한국 전쟁 직후 속초에 발 묶인 이북 실향민이 그리움을 달래기 위해 고향에서 즐기던 명태회냉면을 만들어 먹기 시작했다고 전해지죠. '올면'은 20년 면 제조 노하우를 살려 사연 담긴 속초식 명태회냉면을 제대로 만들어 봤답니다.

엄선된 밀가루로 만든 밀면은 얇고 부드러운 면발 속 탱글탱글함이 일품이에요. 감칠맛 돋우는 동치미 육수와 국내산 과일과 채소를 갈아 만든 양념장이 새콤달콤한 어울림을 연출하죠. 양념으로 붉게 물든 육수는 얇은 면발 사이로 쏙쏙 스며들어요. 주인공 명태회는 이북 함경도 지방의 전통 제조법을 따라 숙성했기에 쫀득하고도 부드러운 식감이 제맛이고 얇은 면 사이로 도톰하게 존재감을 뿜어낸답니다. 전체적으로 매운맛이 강하지 않고 부드러워 누구든 부담 없이 즐길 수 있어요. 2인분이 1봉씩 소분돼 있어 편의를 더해요. 면만 삶아내면 간편하게 완성되는 속초식 명태회냉면을 집에서 만나보세요.",https://img-cf.kurly.com/shop/data/goodsview/20180712/gv40000027113_1.jpg
https://img-cf.kurly.com/shop/data/goods/1569836027710y0.jpg,[오뚜기] 맛있는 잡곡밥 4종,국산 잡곡으로 만든 즉석밥,"1,230원",0%,1팩,샛별배송/택배배송,210g,상온/종이포장,,,옆면 표시일까지,,"['맛있는 오뚜기밥 찰현미 210g', '맛있는 오뚜기밥 오곡 210G', '맛있는 오뚜기밥 발아흑미 210g', '(품절) 맛있는 오뚜기밥 발아현미 210g']","['1,230원', '1,230원', '1,230원', '1,230원']",https://img-cf.kurly.com/shop/data/goodsview/20191001/gv40000063436_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190930/gv40000063430_1.jpg,"국산 잡곡으로 지은 즉석밥
[오뚜기] 맛있는 잡곡밥 4종","즉석밥을 주방 한 편에 차곡차곡 쌓아두면 왠지 모르게 마음이 든든해져요. 평소에 영양을 고려하여 잡곡밥을 드시는 분이라면 잡곡밥으로 지은 즉석밥을 챙겨두세요. 국산 쌀과 잡곡으로 만든 오뚜기의 맛있는 잡곡밥을 컬리가 준비했습니다. 오랜 시간 불려야 하는 잡곡 특성을 고려하여 차지고 먹기 좋은 식감을 구현하기 위해 수분을 조절하고, 고온·고압으로 지은 밥이에요. 쫀득한 밥맛을 내는 찰현미밥부터 오곡밥까지 다양하게 준비했으니 골라가세요.",https://img-cf.kurly.com/shop/data/goodsview/20190930/gv00000063429_1.jpg
https://img-cf.kurly.com/shop/data/goods/1544161690584y0.jpg,[올반] 김치볶음밥,[1봉=2인분] 김치와 고소한 모짜렐라 치즈의 조합,"5,280원",0%,1봉,샛별배송/택배배송,414g,냉동/종이포장,,"-쇠고기,닭고기,대두,밀,우유 함유",,볶음밥 180g x 2개입 / 모짜렐라치즈 27g x 2개입,[],[],https://img-cf.kurly.com/shop/data/goodsview/20181207/gv40000038031_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20181207/gv30000037907_1.jpg,"김치와 고소한 모짜렐라 치즈의 조합
[올반]
김치볶음밥(2인분)",별 다른 재료 없이 김치 하나로도 훌륭한 김치볶음밥이 완성되지만 가끔은 조금 특별하게 즐기고 싶을 때가 있죠. 가마솥 직화방식으로 지은 밥알에 잘 익은 김치를 송송 썰어 섞은 올반 김치볶음밥을 만나 보세요. 모짜렐라 치즈까지 동봉돼 있어 더없이 완벽하죠. 치즈를 뿌리면 김치의 매운맛은 중화되고 고소함까지 느껴질 거예요. 김치볶음밥과 모짜렐라 치즈의 궁합은 이미 두말할 것 없는 환상의 조합이지요. 국내산 배추로 만든 김치를 먹기 좋은 크기로 썰어 넣어 아삭아삭 씹는 맛도 좋으니 김치볶음밥의 맛을 다채롭게 느껴보세요.,https://img-cf.kurly.com/shop/data/goodsview/20181207/gv20000037905_1.jpg
https://img-cf.kurly.com/shop/data/goods/1505982599965y0.jpg,[고베식당] 일본 정통 카레 4종,일본 유명 호텔 셰프들도 극찬한 카레! 장인의 노하우로 만든 80년 전통 일본 카레,"2,180원",0%,1개,샛별배송/택배배송,160g,상온/종이포장,,"-[고베식당] 비프 카레 약간매운맛: 쇠고기, 토마토, 닭고기, 밀, 대두, 우유 함유",,"- 치킨 카레 순한맛, 비프 카레 순한맛 제품이 단종 되었습니다","['(품절) [고베식당] 치킨 카레 순한맛', '[고베식당] 치킨 카레 약간매운맛', '(품절) [고베식당] 비프 카레 순한맛', '[고베식당] 비프 카레 약간매운맛']","['2,180원', '2,180원', '2,180원', '2,180원']",,,,,
https://img-cf.kurly.com/shop/data/goods/1582018750618y0.jpg,[햇반] 즉석밥 2종,"갓 지은 밥 맛! 햇반을 낱개로, 6개입으로 알뜰하게 구매하세요!","1,200원",0%,품목별 상이 (하단 참조),샛별배송/택배배송,품목별 상이 (하단 참조),상온/종이포장,,,수령일 포함 최소 108일 남은 제품을 보내드립니다,,"['[햇반] 1개 (210g)', '(품절) [햇반] 6개입 (210g X 6개)']","['1,200원', '6,400원']",,,,,
https://img-cf.kurly.com/shop/data/goods/1592968242722y0.jpg,[올리] 100% 메밀면,오직 메밀만으로 완성한,"2,000원",0%,1봉,샛별배송/택배배송,150g,냉동/종이포장,,- 메밀 함유,,"컬리 단독 특가로 제안하는 상품입니다. (권장소비자판매가: 2,500원)",[],[],https://img-cf.kurly.com/shop/data/goodsview/20200624/gv10000103156_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200624/gv30000103153_1.jpg,"오직 메밀만으로 완성한
[올리] 100% 메밀면","메밀의 고소한 맛을 그대로 담은 면이 생각나는 날에는 올리의 100% 메밀면을 추천할게요. 밀가루나 전분 등 별도의 첨가물 없이 오직 메밀만으로 만든 올리의 100% 메밀면은 온도와 압력, 시간, 수분 밸런스의 조합을 통해 최적의 맛과 식감을 구현했어요. 보통 메밀은 밀가루에 함유된 단백질인 글루텐이 함유되지 않아 쉽게 끊어질 수 있는데요. 올리의 100% 메밀면은 고온 고압 상태에서 압출한 덕분에 밀가루로 만든 면 못지않은 찰기를 지녔답니다. 또한, 끓는 물에 3분 정도만 조리하면 완성되는 간편함까지 갖추었죠. 냉면이나 소바, 국수 등 여름 요리에 활용하기 제격인 메밀면으로 근사한 여름 한 상을 꾸려보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200624/gv30000103152_1.jpg
https://img-cf.kurly.com/shop/data/goods/158106750090y0.jpg,[투뿔등심] 차돌볶음밥,집에서 만나는 시그니처 볶음밥,"8,500원",0%,1팩,샛별배송/택배배송,500g / 250g x 2개입,냉동/종이포장,,"- 우유, 대두, 밀, 쇠고기, 조개류(굴) 함유",,2020-05-11 오전 11시부로 판매가가 인하되었음을 안내드립니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200211/gv00000081029_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200207/gv10000080791_1.jpg,"집에서 만나는 시그니처 볶음밥
[투뿔등심] 차돌볶음밥","숙성 등심 전문점 투뿔등심에는 메인 요리만큼이나 유명한 메뉴가 있어요. 고기를 먹고 난 뒤 마무리로 즐기는 '차돌볶음밥'인데요. 매장에 가야만 맛볼 수 있었던 투뿔등심의 차돌볶음밥을, 이젠 가까이에서 만나보세요. 고소한 차돌박이와 김치를 송송 썰어 넣은 프리미엄 볶음밥이 근사한 간편식으로 재탄생했습니다. 조리 후에는 급속 냉동으로 볶음밥의 매콤한 감칠맛과 고슬고슬한 식감을 그대로 보존했고요. 1인 분량으로 알맞게 나눠 포장했으니, 간단히 데워내 투뿔등심의 그 맛을 고스란히 누려보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200207/gv40000080790_1.jpg
https://img-cf.kurly.com/shop/data/goods/1592542172750y0.jpg,[밥리] 밥버거 8종,간편하게 즐기는 든든한 한끼 식사,"3,200원",0%,1개,샛별배송/택배배송,250g,냉동/종이포장,,"01. 햄김치 밥버거: 돼지고기, 밀, 대두 함유",,해당 상품의 최소 구매수량은 2개 입니다.,"['[밥리] 햄김치 밥버거', '[밥리] 고추참치 밥버거', '(품절) [밥리] 치즈베이컨 밥버거', '(품절) [밥리] 소고기비빔 밥버거', '[밥리] 양송이 스테이크 밥버거', '(품절) [밥리] 양념치킨 밥버거', '(품절) [밥리] 무교동 매콤낙지 밥버거', '[밥리] 모짜렐라 피망소시지 밥버거']","['3,200원', '3,200원', '3,200원', '3,200원', '3,200원', '3,200원', '3,200원', '3,200원']",https://img-cf.kurly.com/shop/data/goodsview/20200622/gv30000102429_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200619/gv00000102194_1.jpg,"간편하게 즐기는 한 끼 식사
[밥리] 밥버거 8종","밥버거는 번 형태의 밥 사이로 갖은 재료와 양념을 넣어 햄버거처럼 먹는 메뉴이죠. 밥리의 밥버거는 국내산 쌀에 찹쌀을 더해 만들어 더욱 믿고 먹을 수 있는 제품이에요. 포장만 뜯어 그대로 들고 먹기에도 좋고, 접시에 옮겨 담아 숟가락으로 떠서 먹기에도 그만이랍니다. 전자레인지에 살짝 데워 주면 따끈따끈한 밥버거를 간편하게 즐길 수 있을 거예요. 한 끼에 든든히 먹기 좋은 양으로 총 여덟 종류를 준비했으니, 취향에 맞게 골라 보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200619/gv10000101971_1.jpg
