image,title,sub_title,price,sale,unit,delivery_type,weigth,shipping_type,origin,allergen,shelf_life,information,sub_product_name_list,sub_product_price_list,product_image,check_point_image,description_title,description_content,description_image
https://img-cf.kurly.com/shop/data/goods/1564118564514y0.jpg,컬리플라워 라이스 340g(냉동),저칼로리 식단을 위한 이색 라이스 (1팩/340g),"5,300원",15%,1팩,샛별배송/택배배송,340g,냉동/종이포장,수입산(벨기에),,제품 별도 라벨 표기 참조,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200528/gv40000097758_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190726/gv30000057213_1.jpg,"저칼로리 식단을 위한 이색 라이스
컬리플라워 라이스","식단 관리 중에는 주식인 쌀의 칼로리에도 신경이 쓰이기 마련인데요. 컬리플라워 라이스는 쌀처럼 즐길 수 있는 저칼로리 식재료예요. 하얗고 몽글몽글한 채소, 컬리플라워를 쌀알 모양으로 잘게 썰어 급속 냉동했습니다. 외국에서는 이미 쌀을 대신하는 식재료로 널리 사용하고 있다고 해요. 컬리플라워를 손질하는 번거로운 과정 없이, 필요한 만큼 해동해 간편하게 즐길 수 있으니 더욱 기특하지요. 가볍게 데쳐 곡물을 대신하는 토핑으로 사용해도 좋고, 채소나 고기 등을 넣어 볶음밥처럼 조리해도 좋아요. 신경 써 고른 식재료로 가볍고 색다른 식단을 완성해 보세요.",https://img-cf.kurly.com/shop/data/goodsview/20190726/gv20000057212_1.jpg
https://img-cf.kurly.com/shop/data/goods/1498028693427y0.jpg,친환경 잎채소 청경채 100g,중국 요리를 더욱 맛있게 (1봉/100g),"1,800원",0%,1봉,샛별배송/택배배송,100g,냉장/종이포장,국내산,,,친환경 잎채소의 경우 당일 수확 또는 하루 전날 수확하여 고객분께 보내드리고 있습니다. 간혹 생기가 있지 않고 흐물흐물 거리는 이유는 여름철 계절적 이슈로 날씨가 더워 생장은 빨라 규격은 커질 수 있으나 세포는 정상적으로 성장하지 못하여 탄력이 없고 힘이 없어 흐물흐물 거리는 것으로 절대 오래 보관된 상품을 배송 해드리지 않는 점 안내드립니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20170621/gv00000004335_1.jpg,,"중국요리를 더욱 맛있게
친환경 잎채소 청경채","청경채는 잎과 잎줄기가 붙어서 자라는 한 포기 쌈채입니다. 중국요리에 고기와 함께 자주 등장해 친근한 채소이기도 하죠. 열을 가해도 아삭한 식감이 살아있어 무침이나 볶음, 조림, 국 등의 요리에 넣기 좋고요. 고기와 함께 조리하면 조화로운 식감의 요리를 만들 수 있어요. 비타민 A, C, E, 철분까지 풍부하니 맛은 물론 영양까지 팔방미인 채소입니다.

데친 청경채를 굴 소스에 볶아만 줘도 간단하게 중식 느낌을 낼 수 있어요. 기호에 따라 부재료를 추가하면 더욱 근사해지겠죠. 매일 단조로운 식탁에 지루함을 느끼신다면, 오늘은 중국식 청경채 볶음 어떠세요?",https://img-cf.kurly.com/shop/data/goodsview/20170621/gv20000004334_1.jpg
https://img-cf.kurly.com/shop/data/goods/151997666423y0.jpg,미니 양배추 (브뤼셀 스프라우트) 200g,"작아진 양배추, 맛과 영양은 더 커졌어요 (200g)","5,950원",0%,1팩,샛별배송/택배배송,200g,냉장/종이포장,수입산,,,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20180302/gv40000018793_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180302/gv40000018790_1.jpg,"몸에 좋은 양배추가 작아졌을 때
미니 양배추 (브뤼셀 스프라우트)","땅은 좁지만 미식이 발달한 나라, 벨기에. 미니 양배추는 벨기에의 수도인 브뤼셀에서 태어나 '브뤼셀 스프라우트'라 불려요. 미니 양배추는 양배추의 크기만 줄여 놓은 것 같지만, 식이섬유, 비타민 U 등 영양소를 풍부하게 함유하고 있답니다. 할리우드 스타들이 꾸준히 사랑하는 채소이기도 해요. 양배추 한 통을 사서 다 먹지 못하고 버렸던 분들이나 커다란 양배추 잎을 어떻게 요리해야 하는지 모르셨던 분들에게 추천합니다.",https://img-cf.kurly.com/shop/data/goodsview/20180302/gv00000018789_1.jpg
https://img-cf.kurly.com/shop/data/goods/1572227699472y0.jpg,유기농 브로콜리 600g (냉동),필요한만큼 꺼내쓰는 편리한 유기농 브로콜리,"7,500원",0%,1봉,샛별배송/택배배송,600g,냉동/종이포장,스페인산,,제품 별도 표기일까지,이미 냉동된 바 있으니 해동 후 재 냉동시키지 마시길 바랍니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20191028/gv10000066012_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20191028/gv30000066004_1.jpg,"그때그때 꺼내 쓰는 간편 브로콜리
유기농 냉동 브로콜리","꽃처럼 피어난 브로콜리의 초록빛 송이는 보기에만 그럴듯한 것이 아니에요. 살짝 데쳐주면 아삭하디 부드럽고 보슬보슬한 다채로운 식감을 자아내지요. 하지만 번번이 브로콜리를 구입하고 손질하는 것이 번거로우셨다면, 컬리가 준비한 유기농 냉동 브로콜리를 이용해 보세요. 엄격하게 선별한 유기농 브로콜리를 깨끗하게 세척한 후 살짝 데쳐 그 상태 그대로 급속 냉동한 상품이랍니다. 먹기 좋은 크기로 손질했으니, 필요한 만큼만 꺼내 다양한 요리에 활용할 수 있어요. 볶음밥이나 샐러드는 물론, 아이들 이유식 재료로도 손색없어요.",https://img-cf.kurly.com/shop/data/goodsview/20191028/gv40000066000_1.jpg
https://img-cf.kurly.com/shop/data/goods/1591854458426y0.jpg,애플민트 10g,달콤하고 상큼한 매력(10g/1팩),"1,450원",0%,10g,샛별배송/택배배송,1팩,냉장/종이포장,국산,,,상품 특성상 3%내외의 중량차이가 발생할 수 있습니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200611/gv30000100369_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200611/gv30000100360_1.jpg,"달콤하고 상큼한 매력
애플민트","싱싱한 허브는 마법처럼 요리의 풍미를 끌어올려 주지요. 컬리를 통해 허브와 한 발짝 더 친해져 보세요. 지금 소개할 허브는 달콤한 사과, 상쾌한 민트의 매력을 동시에 지닌 애플민트입니다. 특히 음료, 칵테일 데커레이션을 위해서 자주 활용되는데요. 모히토는 물론이고 청량감 가득한 에이드에 넣어 즐기기에도 참 좋을 거예요. 앙증맞은 잎사귀에 깃든 달콤 상큼한 향을 손쉽게 누려보세요.",https://img-cf.kurly.com/shop/data/goodsview/20200611/gv30000100358_1.jpg
https://img-cf.kurly.com/shop/data/goods/1501813348421y0.jpg,유기농 다진 브로콜리 60g(냉동),싱그러운 초록빛의 영양,"2,500원",0%,1개,샛별배송/택배배송,60g,냉동/종이포장,국내산,"- 호두, 땅콩, 대두, 버터(우유), 밀과 같은 시설에서 생산",,식품 특성상 중량은 3% 내외의 차이가 발생할 수 있습니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20190619/gv40000053567_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20170803/gv40000005818_1.jpg,"싱그러운 초록빛의 영양
유기농 다진 브로콜리","우리 아이가 먹는 음식인 만큼 꼼꼼히 좋은 재료를 골라 정성들여 요리하고 싶은 것이 엄마 아빠의 마음이죠. 그러나 재료들을 까다롭게 선택해 손질하고, 매 끼니마다 맛있고 건강한 음식을 만들기는 마음처럼 쉽지 않아요. 어떤 재료를 선택하느냐에 따라 손질에만 꼬박 하루가 걸리는 일도 많고요. 일과 육아를 병행해야 하는 분들이라면 더욱 고민이 될 텐데요. 컬리는 이런 걱정을 덜기 위해 다진 브로콜리를 준비했어요. 따로 손질할 필요가 없고, 내용물을 1회분씩 나누어 간편하게 사용할 수 있습니다. ",https://img-cf.kurly.com/shop/data/goodsview/20170803/gv20000005817_1.jpg
https://img-cf.kurly.com/shop/data/goods/1557723926871y0.jpg,유기농 콜리플라워 600g (냉동),필요한 만큼 꺼내쓰는 유기농 냉동 콜리플라워(1봉/600g),"5,900원",0%,1봉,샛별배송/택배배송,600g,냉동/종이포장,"유럽(벨기에, 오스트리아, 스페인)","-이 제품은 계란, 우유, 메밀, 땅콩, 대두, 밀, 게, 새우, 고등어, 복숭아, 토마토, 돼지고기, 아황산류, 호두, 쇠고기, 닭고기, 오징어, 조개류(굴, 전복, 홍합 포함), 잣을 사용한 제품과 같은 제조시설에서 제조하고 있습니다.",제품 별도 표기일까지,상품 특성 상 봉지 터짐으로 인한 파손을 막기 위해 포장봉지에 작은 숨구멍을 뚫어 놓았음을 알려 드립니다.,[],[],https://img-cf.kurly.com/shop/data/goodsview/20190513/gv40000050000_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20190513/gv20000049996_1.jpg,"사계절 내내 신선하게 즐기는
냉동 유기농 콜리플라워","아무리 신선한 채소라고 해도 냉장고에 머무는 시간이 길어지면 시들해지기 마련이에요. 컬리는 항상 재료가 남아 고민이셨던 분들을 위해 냉동 유기농 콜리플라워를 준비했습니다. 건강하게 자란 유기농 콜리플라워를 깨끗하게 세척한 후 먹기 좋은 크기로 손질해줬고요. 멸균 후 맛과 향, 영양소를 보존하기 위해 급속 냉동하여 포장했습니다. 이 모든 과정이 수확 직후 이루어지니 신선한 상태 그대로의 콜리플라워를 만나보실 수 있어요. 유럽연합(EU)의 유기농 인증을 받아 더욱 믿음이 가는 냉동 유기농 콜리플라워를 사계절 내내 즐겨보세요.",https://img-cf.kurly.com/shop/data/goodsview/20190513/gv10000049995_1.jpg
https://img-cf.kurly.com/shop/data/goods/159782037274y0.jpg,[야채랑] 냉동 조각 옥수수 10입,"스테이크 가니쉬로, 바비큐 구이로","4,400원",0%,1팩,샛별배송/택배배송,,냉동/종이포장,,,,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20200819/gv00000114687_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20200819/gv00000114686_1.jpg,"스테이크 가니쉬로, 바비큐 구이로
[야채랑] 냉동 조각 옥수수","길쭉한 옥수수를 동그랗게 커팅한 야채랑 냉동 조각 옥수수를 소개할게요. 단맛이 강한 스위트콘을 살짝 데친 뒤 커팅하고 냉동해 담았어요. 동그란 모양이 살아있는 덕분에 메인 요리의 가니쉬로 내면 포인트를 줄 수 있어요. 옥수수 알을 뜯어내기도 훨씬 수월하고요. 조리는 일반 옥수수처럼 하세요. 간단하게 버터에 구워도 충분하고, 여기에 파마산 치즈와 마요네즈를 솔솔 뿌려 풍미를 더해줘도 좋겠죠. 캠핑이나 야외 활동을 할 때도 유용한 서브 재료가 될 거예요.",https://img-cf.kurly.com/shop/data/goodsview/20200819/gv20000114685_1.jpg
https://img-cf.kurly.com/shop/data/goods/151910478511y0.jpg,레몬그라스 150g,톡 쏘는 상큼한 향미(1팩/150g),"4,300원",0%,,샛별배송/택배배송,,냉장/종이포장,,,,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20180220/gv30000018077_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20180220/gv10000018071_1.jpg,"톡 쏘는 상큼한 향미
레몬그라스","태국, 베트남 음식 특유의 톡 쏘는 시큼함의 비밀은 바로 레몬그라스예요. 레몬그라스는 동남아시아 국가 대부분의 음식에 들어가는 향신 채소로, 살짝 비비기만 해도 레몬의 상큼한 향기가 진동을 하죠. 레몬그라스가 사용되는 대표적인 음식은 세계의 3대 수프라 알려진 똠얌꿍이 있고, 태국 커리, 쌀국수 등에서 다양하게 활용된답니다. 컬리가 준비한 레몬그라스로, 태국 요리에 도전해보세요. 태국, 베트남 현지에서 직수입해 들어오는 레몬그라스는 잔류 농약 검사 완료로 더욱 안전하게 즐길 수 있답니다.",https://img-cf.kurly.com/shop/data/goodsview/20180220/gv10000018070_1.jpg
https://img-cf.kurly.com/shop/data/goods/1505902207525y0.jpg,릭 350g,다채롭게 활용되는 서양 대파 (1개/350g 내외),"12,000원",0%,1개,샛별배송/택배배송,350g 내외,냉장/종이포장,수입산,,,,[],[],https://img-cf.kurly.com/shop/data/goodsview/20181017/gv00000033776_1.jpg,https://img-cf.kurly.com/shop/data/goodsview/20170920/gv10000008985_1.jpg,"다채롭게 활용되는 서양 대파
릭","대파 아니냐고요? 대파 맞아요. 서양의 대파라고도 불리는 릭(Leek)은 지중해 연안과 동아시아 지역에서 재배되는 향신 채소인데요. 보시다시피 우리가 아는 대파의 모습과 비슷하게 생겼지요. 하지만 크기가 훨씬 크고 육질이 단단하며, 맛은 대파보다도 덜 맵고 양파처럼 은근한 단맛이 돈답니다. 조리가 들어가면 릭 본연의 풍미가 깊게 살아나기 때문에 유럽에서는 스톡이나 육수를 내는 재료로도 자주 활용되곤 해요. 풍미 좋고 활용도 높은 릭을 각종 요리에서 다채롭게 활용해보세요. 살짝 데치거나 오븐에 굽기만 해도 그 자체로 훌륭한 요리가 될 수 있어요. 송송 썰어 파무침이나 장아찌로 담가 즐겨도 좋답니다.",https://img-cf.kurly.com/shop/data/goodsview/20170920/gv10000008984_1.jpg
